Horizon,Stock,MSE,MAE,QLIKE
1,AAPL,1.3446163208074523e-07,0.00014527105904170212,0.2054452445073668
1,ABT,4.099056972307016e-08,7.153262900254323e-05,0.16699865255931648
1,AIG,1.315913387403388e-06,0.0002938927232963485,0.18815802917260832
1,AMGN,6.577983809610942e-08,0.000105669082801369,0.1795987359512051
1,AXP,1.9710505510148257e-07,0.00013637960913801689,0.1814552230965362
1,BA,1.9307588285412928e-07,0.00013715627657249013,0.18049070204279233
1,BAC,5.832958838403005e-07,0.00020817041605627928,0.16753207469062995
1,C,8.322042224096458e-07,0.00023987202390373256,0.15585045579782744
1,CAT,8.769761715725273e-08,0.00011558369506142075,0.14815195573284298
1,CCL,4.313414708172823e-07,0.0002145294151789485,0.1999096125158691
1,DIS,7.081817909470815e-08,9.209022457833995e-05,0.1708091132205992
1,DJI,2.718123790800022e-08,5.217164835187894e-05,0.2259468108490426
1,GE,1.8424531012736539e-07,0.00014500373870094283,0.17241037766311956
1,GS,3.548357096159781e-07,0.00014615677259050138,7716.72672492933
1,HD,8.186810053523577e-08,9.518331986247861e-05,0.1554635031645239
1,IBM,4.327802268379271e-08,6.8356151392955e-05,0.16441152069262158
1,INTC,1.0987170583505842e-07,0.0001314655763804352,0.15157048948115034
1,JNJ,2.457531824781374e-08,4.7488039201731085e-05,0.17191337151393757
1,JPM,2.564742528343258e-07,0.00014772737650251954,0.1598572372440845
1,KO,2.7921205223642898e-08,4.877230680129802e-05,0.14552094409281252
1,MCD,6.171380585022453e-08,6.620030022313538e-05,0.18887797692854352
1,MMM,5.161796918816011e-08,7.141359159700572e-05,0.1794741616309861
1,MRK,7.2055273773473e-08,9.07318536296641e-05,0.19660003537708634
1,MSFT,4.730154888132816e-08,8.57180442988065e-05,0.1473746448168716
1,Median_30,8.001269355399367e-08,9.759322693357043e-05,0.1672653636249732
1,NKE,6.479235179023095e-08,9.216405742733992e-05,0.1603675557128567
1,PG,4.2535473489103054e-08,5.17355314970875e-05,0.15810754044760475
1,SPY,2.6638733196538357e-08,4.597230215020046e-05,0.22516781151091061
1,UNH,1.1434760895139914e-07,0.00012784939971806068,0.19209431136258387
1,UNP,7.816057355460342e-08,0.00010000313400466225,0.1571387135425057
1,VZ,5.383030765002168e-08,7.019288623942413e-05,0.161494326201018
1,WMT,3.543509259982351e-08,6.016317854261641e-05,0.16557030769921907
1,XOM,8.186481355338392e-08,8.402043538151055e-05,0.12968933535607263
5,AAPL,7.511509505699797e-08,0.00013276632842165108,0.16743577673203835
5,ABT,2.8710387934745563e-08,6.544746302486283e-05,0.12521778008569626
5,AIG,1.3316809217059137e-06,0.00031082821312632125,0.19088095057433208
5,AMGN,3.747216870666007e-08,9.131725942129523e-05,0.11946758256403216
5,AXP,1.2171615683814965e-07,0.0001271842321602532,0.14702728846912075
5,BA,1.6845546268271344e-07,0.00012226199714412478,0.12999780571838113
5,BAC,4.2350496230061766e-07,0.0002026926518471695,0.1505651533654821
5,C,6.994723695886078e-07,0.0002448139812729483,0.15102462834709737
5,CAT,6.47388931706947e-08,0.00010110360645250608,0.10258296134854376
5,CCL,5.268033734950604e-07,0.00020218903900240805,25483.80981919191
5,DIS,4.793923972174328e-08,8.785555025744453e-05,0.13862689623618119
5,DJI,2.0272752411563776e-08,4.8336233333738445e-05,0.19001414728937976
5,GE,1.2889923007607431e-07,0.0001380600737715509,0.15117760500867022
5,GS,2.553240035834149e-07,0.00014699405872405089,0.14002603144010894
5,HD,6.020853665733755e-08,8.788364005529189e-05,0.11980655594555824
5,IBM,2.7448954812771995e-08,6.231271597574291e-05,0.12340292278916211
5,INTC,8.215824746618474e-08,0.00011802884558475715,0.11148761883844578
5,JNJ,1.5708991766854283e-08,4.381131910099289e-05,0.13166207013454967
5,JPM,2.1649644191901362e-07,0.00015565233949701502,0.16481807042693764
5,KO,2.007674533391424e-08,4.4101570685035344e-05,0.11000629944324868
5,MCD,4.13040690670914e-08,6.279705469010176e-05,0.14478312615421537
5,MMM,3.0665819595221e-08,6.564303981265299e-05,0.1390034219143653
5,MRK,3.63967678076092e-08,8.162212628700424e-05,0.13990624435614213
5,MSFT,3.2611609002605466e-08,7.80470160326264e-05,0.11094360359271309
5,Median_30,5.931266682736048e-08,8.942194702882358e-05,0.1308299379264654
5,NKE,4.8194715753691406e-08,8.346343386242308e-05,0.12400953047515931
5,PG,3.195638320924618e-08,4.8702857500890446e-05,0.12025990011700959
5,SPY,1.7529084918415304e-08,4.4843372783025996e-05,0.21072184914968423
5,UNH,7.616509572036079e-08,0.00011106852129593104,0.1331074803606361
5,UNP,5.959358645325883e-08,9.096025400235526e-05,0.10959637743289738
5,VZ,3.156080466129072e-08,6.421865021667593e-05,0.12077044798049812
5,WMT,2.2540095988593255e-08,5.47127464034215e-05,0.12024862847687459
5,XOM,5.903174720146213e-08,7.741104320141716e-05,0.11004919518116732
10,AAPL,7.310963459230912e-08,0.00013768892205338575,0.16485834579901887
10,ABT,2.904274275012849e-08,6.677072412650632e-05,0.12139058773075612
10,AIG,1.6890535886365233e-06,0.0003489245368011013,0.23395557321661825
10,AMGN,3.819677151125784e-08,9.167287754463497e-05,0.1120345963601949
10,AXP,1.2423672996525013e-07,0.00013568252711964622,0.1543934552348849
10,BA,1.90330179639603e-07,0.00012633356579810798,0.1290961289532579
10,BAC,4.055283237668312e-07,0.00020999022797307744,0.1631854004106478
10,C,6.866445206731025e-07,0.00025793013688989093,0.17366833990135053
10,CAT,6.389396516447524e-08,0.00010338654138373931,0.10398061546520895
10,CCL,6.485564731681643e-07,0.00020785669260539545,42556.6859615112
10,DIS,4.774614785590276e-08,9.117543745774144e-05,0.14001488484359595
10,DJI,2.0391725980235846e-08,5.167898474358208e-05,0.21362096754030324
10,GE,1.276782071980302e-07,0.000142327276922637,0.1609525132598439
10,GS,2.0133089344486162e-07,0.000146883178351938,0.1465026235912996
10,HD,6.251492977992332e-08,9.311472556579679e-05,0.12669300536244313
10,IBM,2.9600535070634093e-08,6.494284050406982e-05,0.1216620884859287
10,INTC,8.015156296749959e-08,0.00011964128217009266,0.10712769552553103
10,JNJ,1.5786195975129445e-08,4.663536030862674e-05,0.13880659887979702
10,JPM,2.0158480935374024e-07,0.0001677984362573013,0.18332381985243243
10,KO,2.2377427526453327e-08,4.6695189477120625e-05,0.11672828638095813
10,MCD,4.118455149345545e-08,6.646108145359341e-05,0.1531045631873765
10,MMM,3.086748917403062e-08,6.760969807480769e-05,0.13881749081952519
10,MRK,3.307168608093643e-08,8.042526594698723e-05,0.12767403800285385
